id,region,sexo,tramo_etario,ganancia_final,lugar_trabajo,financiamiento_inicial,rama_economica,motivacion,informalidad,tramos_ganancias
3355,O'Higgins,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
3356,Metropolitana,Hombre,60 años o más,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3357,La Araucanía,Hombre,60 años o más,30000.0,En la vía pública,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3358,La Araucanía,Hombre,Adulto Medio,265000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
3359,La Araucanía,Hombre,Adulto Medio,35000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
3360,La Araucanía,Hombre,60 años o más,500000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3361,O'Higgins,Hombre,45 a 59 años,1500000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
3362,Los Ríos,Mujer,60 años o más,50000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
3363,Los Lagos,Mujer,60 años o más,1200000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3364,Antofagasta,Hombre,30 a 44 años,500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3365,Metropolitana,Hombre,45 a 59 años,350000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3366,Maule,Hombre,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
3367,Metropolitana,Mujer,Adulto Medio,25000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
3368,Coquimbo,Mujer,60 años o más,-7234632.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3369,Valparaíso,Mujer,60 años o más,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3370,Biobío,Hombre,60 años o más,2500000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Más de $1.500.000
3371,Biobío,Hombre,60 años o más,600000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3372,Antofagasta,Hombre,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
3373,Antofagasta,Hombre,Adulto Medio,350000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
3374,Tarapacá,Hombre,Adulto Medio,600000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3375,Los Ríos,Mujer,Adulto Medio,40000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
3376,Los Ríos,Mujer,30 a 44 años,600000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3377,Los Ríos,Hombre,Adulto Medio,0.0,A domicilio,Ahorros propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3378,Los Lagos,Mujer,30 a 44 años,600000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3379,Maule,Mujer,Adulto Medio,-150000.0,En la vía pública,Recursos Propios,Minería,Oportunidad de negocio,Informal,Menos de $350.000
3380,Atacama,Mujer,45 a 59 años,1500000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3381,Atacama,Hombre,45 a 59 años,700000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3382,Aysén,Hombre,30 a 44 años,1000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3383,Metropolitana,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3384,Tarapacá,Hombre,Adulto Medio,600000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3385,Metropolitana,Mujer,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3386,Biobío,Hombre,45 a 59 años,1400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3387,Arica y Parinacota,Mujer,Adulto Medio,55000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3388,Coquimbo,Mujer,45 a 59 años,50000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3389,Metropolitana,Hombre,60 años o más,1900000.0,Instalación Independiente,Préstamo familiar,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
3390,O'Higgins,Hombre,45 a 59 años,2500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
3391,Biobío,Hombre,Adulto Medio,100000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Menos de $350.000
3392,Biobío,Hombre,15 a 29 años,600000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3393,Antofagasta,Mujer,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3394,Valparaíso,Hombre,45 a 59 años,1200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3395,Atacama,Mujer,Adulto Medio,4000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3396,Coquimbo,Mujer,45 a 59 años,87500.0,En el propio hogar,Ahorros propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
3397,Valparaíso,Hombre,Adulto Medio,3800000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Más de $1.500.000
3398,Los Lagos,Hombre,Adulto Medio,20000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
3399,Metropolitana,Mujer,30 a 44 años,15000000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
3400,Los Ríos,Hombre,60 años o más,3000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Más de $1.500.000
3401,La Araucanía,Hombre,45 a 59 años,600000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3402,La Araucanía,Hombre,30 a 44 años,665000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3403,Coquimbo,Mujer,60 años o más,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3404,Arica y Parinacota,Mujer,60 años o más,50000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3405,Arica y Parinacota,Hombre,30 a 44 años,500000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3406,Valparaíso,Mujer,15 a 29 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
3407,Los Lagos,Mujer,45 a 59 años,200000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3408,Los Lagos,Mujer,60 años o más,1000000.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3409,Los Lagos,Hombre,Adulto Medio,200000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Menos de $350.000
3410,Arica y Parinacota,Hombre,45 a 59 años,44000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
3411,Los Ríos,Mujer,Adulto Medio,125000.0,Instalación Independiente,Préstamo familiar,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3412,Los Ríos,Hombre,60 años o más,-25000.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
3413,Valparaíso,Hombre,60 años o más,250000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
3414,Metropolitana,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3415,Metropolitana,Hombre,Adulto Medio,880000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3416,O'Higgins,Hombre,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
3417,Metropolitana,Hombre,60 años o más,250000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3418,Valparaíso,Mujer,45 a 59 años,1100000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3419,Valparaíso,Mujer,45 a 59 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3420,Tarapacá,Mujer,45 a 59 años,314000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3421,Metropolitana,Hombre,60 años o más,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
3422,Metropolitana,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3423,Ñuble,Mujer,60 años o más,-200000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3424,Atacama,Hombre,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
3425,Maule,Hombre,30 a 44 años,500000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3426,Atacama,Hombre,60 años o más,120000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
3427,Biobío,Hombre,60 años o más,730000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3428,Tarapacá,Mujer,45 a 59 años,150000.0,Instalación Independiente,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
3429,Tarapacá,Mujer,30 a 44 años,500000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3430,Biobío,Mujer,45 a 59 años,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3431,Arica y Parinacota,Hombre,45 a 59 años,1000000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3432,Magallanes,Mujer,45 a 59 años,400000.0,En el propio hogar,Ahorros propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3433,La Araucanía,Mujer,45 a 59 años,30000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Menos de $350.000
3434,Coquimbo,Mujer,Adulto Medio,-200000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3435,Coquimbo,Mujer,60 años o más,4000.0,A domicilio,Recursos Propios,Minería,Oportunidad de negocio,Formal,Menos de $350.000
3436,Coquimbo,Mujer,Adulto Medio,500000.0,A domicilio,Ahorros propios,Construcción,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
3437,Antofagasta,Mujer,60 años o más,0.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3438,Valparaíso,Mujer,Adulto Medio,400000.0,Instalación Independiente,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3439,Valparaíso,Mujer,30 a 44 años,70000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3440,Metropolitana,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3441,La Araucanía,Hombre,60 años o más,735000.0,A domicilio,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3442,La Araucanía,Mujer,Adulto Medio,70000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
3443,La Araucanía,Hombre,30 a 44 años,0.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3444,Magallanes,Hombre,60 años o más,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3445,Magallanes,Hombre,45 a 59 años,950000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3446,Magallanes,Hombre,60 años o más,700000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3447,Los Lagos,Mujer,60 años o más,1500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3448,Los Lagos,Hombre,60 años o más,1200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3449,Valparaíso,Mujer,60 años o más,40000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
3450,Valparaíso,Hombre,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3451,Ñuble,Hombre,30 a 44 años,150000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3452,Ñuble,Mujer,30 a 44 años,270000.0,Instalación Independiente,Préstamo bancario,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3453,Tarapacá,Hombre,Adulto Medio,647000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3454,Tarapacá,Mujer,Adulto Medio,193667.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3455,Biobío,Hombre,Adulto Medio,300000.0,En la vía pública,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3456,Metropolitana,Mujer,60 años o más,230000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3457,Metropolitana,Hombre,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3458,Metropolitana,Hombre,Adulto Medio,1000000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
3459,Arica y Parinacota,Mujer,45 a 59 años,50000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3460,Valparaíso,Mujer,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3461,Metropolitana,Hombre,30 a 44 años,150000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3462,Metropolitana,Mujer,30 a 44 años,600000.0,A domicilio,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3463,Valparaíso,Mujer,Adulto Medio,2000000.0,Instalación Independiente,Ahorros propios,Construcción,Complementar ingreso familiar,Informal,Más de $1.500.000
3464,Los Ríos,Hombre,Adulto Medio,1200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3465,Metropolitana,Hombre,30 a 44 años,1300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
3466,Metropolitana,Mujer,45 a 59 años,300000.0,A domicilio,Ahorros propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
3467,Atacama,Mujer,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3468,Atacama,Mujer,30 a 44 años,380000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3469,Ñuble,Hombre,Adulto Medio,350000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Menos de $350.000
3470,Metropolitana,Mujer,30 a 44 años,400000.0,Instalación Independiente,Fondos estatales (Sercotec/Corfo),Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3471,Aysén,Hombre,Adulto Medio,200000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
3472,Metropolitana,Hombre,60 años o más,1400000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
3473,Biobío,Hombre,Adulto Medio,600000.0,En el propio hogar,Ahorros propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3474,Antofagasta,Mujer,60 años o más,600000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3475,Antofagasta,Mujer,60 años o más,30000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
3476,O'Higgins,Hombre,Adulto Medio,450000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3477,Metropolitana,Hombre,Adulto Medio,1200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3478,Valparaíso,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
3479,Metropolitana,Mujer,Adulto Medio,400000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3480,Los Ríos,Hombre,Adulto Medio,1000000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3481,Los Ríos,Hombre,Adulto Medio,400000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3482,Metropolitana,Hombre,Adulto Medio,700000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3483,Ñuble,Hombre,45 a 59 años,400000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3484,Ñuble,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
3485,Ñuble,Hombre,60 años o más,600000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3486,Ñuble,Hombre,60 años o más,300000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
3487,Metropolitana,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
3488,Metropolitana,Hombre,Adulto Medio,10000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Formal,Menos de $350.000
3489,Metropolitana,Mujer,Adulto Medio,20000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3490,La Araucanía,Mujer,30 a 44 años,2090000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Más de $1.500.000
3491,Coquimbo,Mujer,60 años o más,200000.0,A domicilio,Ahorros propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3492,Coquimbo,Mujer,30 a 44 años,300000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
3493,Metropolitana,Mujer,60 años o más,550000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3494,Metropolitana,Hombre,Adulto Medio,8000000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
3495,Metropolitana,Hombre,Adulto Medio,4000000.0,A domicilio,Fondos estatales (Sercotec/Corfo),Construcción,Oportunidad de negocio,Formal,Más de $1.500.000
3496,Metropolitana,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3497,Metropolitana,Mujer,Adulto Medio,480000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3498,Metropolitana,Hombre,Adulto Medio,1200000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3499,Maule,Hombre,60 años o más,700000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
3500,Ñuble,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
3501,Valparaíso,Mujer,45 a 59 años,120000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
3502,Valparaíso,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
3503,Arica y Parinacota,Hombre,60 años o más,1900000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
3504,Arica y Parinacota,Mujer,60 años o más,252000.0,A domicilio,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
3505,Los Lagos,Hombre,30 a 44 años,1500000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
3506,Los Lagos,Hombre,45 a 59 años,700000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3507,Valparaíso,Mujer,45 a 59 años,1200000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3508,Maule,Mujer,Adulto Medio,-80000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
3509,Valparaíso,Hombre,60 años o más,250000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
3510,Magallanes,Hombre,60 años o más,1000000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3511,Maule,Mujer,45 a 59 años,60000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
3512,Maule,Mujer,Adulto Medio,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3513,Biobío,Hombre,Adulto Medio,600000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3514,Metropolitana,Hombre,30 a 44 años,80000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
3515,Coquimbo,Hombre,45 a 59 años,0.0,En la vía pública,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
3516,Metropolitana,Mujer,Adulto Medio,250000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3517,Antofagasta,Hombre,60 años o más,23000000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Más de $1.500.000
3518,Metropolitana,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3519,Antofagasta,Hombre,45 a 59 años,2500000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Más de $1.500.000
3520,Aysén,Hombre,Adulto Medio,16600.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
3521,Los Lagos,Hombre,60 años o más,600000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3522,Los Ríos,Hombre,Adulto Medio,3500000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
3523,Los Ríos,Mujer,Adulto Medio,200000.0,A domicilio,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Menos de $350.000
3524,Los Ríos,Mujer,Adulto Medio,300000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
3525,Valparaíso,Hombre,60 años o más,500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3526,Valparaíso,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
3527,O'Higgins,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3528,Biobío,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
3529,La Araucanía,Hombre,30 a 44 años,390000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
3530,Los Lagos,Hombre,15 a 29 años,500000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
3531,Los Lagos,Mujer,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
3532,Magallanes,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
